Respondent_ID,Household_ID,PSU_ID,Stratum,Zone,State,Urban_Rural,Household_Size,Monthly_Income,Age,Gender,Education,Employment,Response_Probability,Survey_Time_Min,Travel_Difficulty,GPS_Distance_km,Team_Assigned,Team_Experience_Years,Interview_Cost,Sampling_Weight,Response_Status
R00001,HH0001,PSU113,Urban,East,Bihar,Urban,4,61578,32,Female,Higher Secondary,Student,0.91,30,1,5.3,Team_A,8,12.61,1.12,Completed
R00002,HH0001,PSU110,Urban,North,Delhi,Urban,6,45121,36,Male,Secondary,Salaried,0.73,45,4,15.4,Team_D,2,25.72,2.45,Completed
R00003,HH0001,PSU139,Urban,South,Tamil Nadu,Urban,5,81789,75,Male,Higher Secondary,Student,0.88,35,1,5.2,Team_A,4,13.83,1.98,Completed
R00004,HH0002,PSU100,Urban,North,Delhi,Urban,2,53139,32,Male,Secondary,Unemployed,0.85,29,2,9.8,Team_B,3,17.43,1.71,Not Available
R00005,HH0003,PSU105,Urban,North,Delhi,Urban,4,82629,58,Female,Secondary,Student,0.92,36,1,7.6,Team_A,7,16.54,1.64,Completed
R00006,HH0003,PSU121,Urban,South,Tamil Nadu,Urban,4,99986,40,Female,Higher Secondary,Student,0.85,30,2,7.2,Team_D,9,14.95,1.75,Completed
R00007,HH0003,PSU163,Urban,North,Delhi,Urban,6,35618,69,Female,Graduate,Salaried,0.72,38,4,15.7,Team_D,3,24.38,1.65,Completed
R00008,HH0003,PSU112,Urban,West,Maharashtra,Urban,4,110500,35,Female,Postgraduate,Farmer,0.85,25,1,4.9,Team_A,4,12.54,1.58,Completed
R00009,HH0003,PSU141,Urban,West,Gujarat,Urban,7,95883,34,Female,Higher Secondary,Student,0.74,46,3,9.5,Team_A,10,20.71,1.41,Completed
R00010,HH0003,PSU110,Urban,South,Kerala,Urban,4,46142,51,Male,Graduate,Salaried,0.92,27,1,6.1,Team_B,7,12.86,1.31,Completed
R00011,HH0003,PSU127,Urban,North,Delhi,Urban,5,100481,38,Female,Secondary,Farmer,0.89,29,1,7.3,Team_A,4,14.0,2.18,Completed
R00012,HH0003,PSU196,Urban,South,Kerala,Urban,2,50169,41,Male,Postgraduate,Student,0.74,21,3,11.7,Team_D,3,18.61,2.12,Refused
R00013,HH0004,PSU167,Urban,South,Tamil Nadu,Urban,3,88694,38,Female,Postgraduate,Salaried,0.74,29,4,13.8,Team_B,2,21.7,1.86,Completed
R00014,HH0004,PSU190,Urban,South,Tamil Nadu,Urban,6,98347,25,Female,Postgraduate,Farmer,0.85,45,2,9.5,Team_D,4,18.85,1.08,Completed
R00015,HH0004,PSU167,Urban,South,Kerala,Urban,3,109960,53,Male,Graduate,Student,0.9,31,1,6.7,Team_A,7,14.55,1.46,Completed
R00016,HH0005,PSU186,Urban,East,Odisha,Urban,3,102194,35,Female,Secondary,Farmer,0.8,24,3,12.3,Team_C,1,19.08,1.65,Completed
R00017,HH0006,PSU163,Urban,West,Maharashtra,Urban,5,55791,50,Female,Postgraduate,Salaried,0.85,34,1,6.5,Team_B,6,15.56,1.18,Completed
R00018,HH0006,PSU157,Urban,South,Kerala,Urban,4,57735,32,Male,Graduate,Farmer,0.72,32,3,12.9,Team_D,7,20.19,1.3,Completed
R00019,HH0006,PSU121,Urban,East,Odisha,Urban,8,84889,48,Female,Graduate,Farmer,0.79,49,2,9.7,Team_B,10,19.71,0.97,Completed
R00020,HH0007,PSU159,Urban,North,Punjab,Urban,4,56605,49,Female,Higher Secondary,Self-employed,0.84,32,2,8.0,Team_C,8,16.14,1.4,Completed
R00021,HH0008,PSU117,Urban,North,Punjab,Urban,2,31535,18,Male,Postgraduate,Farmer,0.79,22,2,7.7,Team_B,6,14.14,2.23,Completed
R00022,HH0008,PSU138,Urban,North,Haryana,Urban,3,117151,35,Male,Higher Secondary,Self-employed,0.81,33,2,9.9,Team_A,6,19.06,1.02,Completed
R00023,HH0009,PSU118,Urban,North,Punjab,Urban,4,108281,35,Female,Secondary,Unemployed,0.82,30,2,7.2,Team_C,1,15.9,1.94,Completed
R00024,HH0009,PSU121,Urban,South,Karnataka,Urban,8,32124,18,Female,Graduate,Self-employed,0.89,41,1,6.6,Team_D,1,15.92,1.32,Completed
R00025,HH0009,PSU140,Urban,South,Kerala,Urban,5,95095,38,Female,Higher Secondary,Farmer,0.85,35,2,8.3,Team_B,7,16.78,1.54,Completed
R00026,HH0009,PSU153,Urban,West,Rajasthan,Urban,2,104702,36,Female,Graduate,Self-employed,0.89,27,1,7.0,Team_C,9,13.35,2.12,Not Available
R00027,HH0010,PSU111,Urban,South,Kerala,Urban,4,68009,30,Male,Postgraduate,Student,0.7,33,4,12.5,Team_C,5,20.48,1.1,Completed
R00028,HH0010,PSU116,Urban,West,Rajasthan,Urban,7,85860,44,Male,Graduate,Farmer,0.92,38,1,4.1,Team_A,6,12.98,1.68,Completed
R00029,HH0010,PSU178,Urban,South,Kerala,Urban,6,67625,33,Female,Graduate,Salaried,0.88,33,1,6.3,Team_D,1,14.77,1.68,Not Available
R00030,HH0010,PSU122,Urban,North,Punjab,Urban,3,68466,23,Female,Graduate,Student,0.7,28,4,14.1,Team_C,6,20.94,0.88,Completed
R00031,HH0011,PSU172,Urban,West,Maharashtra,Urban,7,65041,38,Female,Higher Secondary,Farmer,0.74,34,4,13.9,Team_D,5,22.3,1.58,Completed
R00032,HH0011,PSU187,Urban,East,West Bengal,Urban,7,49248,37,Female,Primary,Student,0.76,43,3,10.2,Team_A,6,20.49,1.51,Completed
R00033,HH0011,PSU154,Urban,South,Karnataka,Urban,2,59664,32,Male,Primary,Unemployed,0.69,24,4,15.0,Team_C,4,21.65,1.55,Completed
R00034,HH0011,PSU104,Urban,East,Bihar,Urban,4,48080,47,Male,Secondary,Unemployed,0.88,26,1,5.9,Team_B,9,12.88,1.61,Refused
R00035,HH0012,PSU140,Urban,North,Delhi,Urban,7,38545,18,Male,Higher Secondary,Student,0.89,38,1,4.9,Team_D,5,14.32,1.21,Completed
R00036,HH0013,PSU143,Urban,South,Karnataka,Urban,3,105368,41,Male,Higher Secondary,Farmer,0.87,28,1,6.1,Team_B,3,14.06,2.27,Completed
R00037,HH0014,PSU189,Urban,West,Gujarat,Urban,4,40702,28,Male,Secondary,Unemployed,0.85,30,2,6.7,Team_B,10,15.2,1.93,Completed
R00038,HH0015,PSU126,Urban,South,Kerala,Urban,7,32792,45,Male,Graduate,Self-employed,0.81,43,2,6.8,Team_B,4,17.11,1.04,Completed
R00039,HH0015,PSU155,Urban,West,Rajasthan,Urban,5,84306,38,Male,Graduate,Farmer,0.84,31,2,9.8,Team_D,8,17.88,0.94,Completed
R00040,HH0016,PSU114,Urban,East,West Bengal,Urban,6,86590,19,Female,Graduate,Farmer,0.9,28,1,7.2,Team_C,2,14.86,1.1,Completed
R00041,HH0016,PSU120,Urban,West,Maharashtra,Urban,4,118199,28,Female,Graduate,Farmer,0.79,27,2,9.7,Team_D,7,17.28,1.76,Not Available
R00042,HH0016,PSU116,Urban,North,Delhi,Urban,3,57665,25,Female,Graduate,Unemployed,0.86,31,1,5.1,Team_A,9,13.53,1.25,Completed
R00043,HH0017,PSU139,Urban,West,Maharashtra,Urban,6,106305,26,Female,Higher Secondary,Salaried,0.84,31,2,9.9,Team_C,2,17.81,1.71,Completed
R00044,HH0017,PSU130,Urban,West,Rajasthan,Urban,5,74569,30,Female,Higher Secondary,Unemployed,0.76,34,3,9.7,Team_C,3,18.44,1.24,Completed
R00045,HH0017,PSU194,Urban,East,West Bengal,Urban,5,97837,51,Male,Secondary,Unemployed,0.74,43,4,12.7,Team_A,9,23.66,0.87,Completed
R00046,HH0018,PSU118,Urban,North,Delhi,Urban,3,58061,19,Female,Postgraduate,Farmer,0.82,26,2,10.6,Team_C,9,17.6,1.35,Completed
